match_date,venue,city,team_1,team_2,toss_winner,toss_decision,match_winner
2020-09-29,Sheikh Zayed Stadium,Abu Dhabi,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad
2020-10-19,Sheikh Zayed Stadium,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals
2020-09-21,Dubai International Cricket Stadium,,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore
2020-10-31,Dubai International Cricket Stadium,,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
2020-10-29,Dubai International Cricket Stadium,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
2020-10-30,Sheikh Zayed Stadium,Abu Dhabi,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
2020-10-04,Sharjah Cricket Stadium,,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians
2020-09-25,Dubai International Cricket Stadium,,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals
2020-10-12,Sharjah Cricket Stadium,,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2020-10-25,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals
2020-10-08,Dubai International Cricket Stadium,,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2020-10-14,Dubai International Cricket Stadium,,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals
2020-10-25,Dubai International Cricket Stadium,,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings
2020-09-26,Sheikh Zayed Stadium,Abu Dhabi,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders
2020-10-20,Dubai International Cricket Stadium,,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab
2020-09-28,Dubai International Cricket Stadium,,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,
2020-02-29,Terdthai Cricket Ground,Bangkok,Thailand,Singapore,Thailand,field,Singapore
2020-03-01,Terdthai Cricket Ground,Bangkok,Hong Kong,Nepal,Nepal,field,Hong Kong
2020-03-01,Terdthai Cricket Ground,Bangkok,Thailand,Malaysia,Thailand,bat,Malaysia
2020-03-03,Terdthai Cricket Ground,Bangkok,Malaysia,Singapore,Singapore,bat,Singapore
2020-03-03,Terdthai Cricket Ground,Bangkok,Thailand,Hong Kong,Thailand,bat,Hong Kong
2020-03-04,Terdthai Cricket Ground,Bangkok,Thailand,Nepal,Thailand,bat,Nepal
2020-03-04,Terdthai Cricket Ground,Bangkok,Hong Kong,Singapore,Singapore,bat,Singapore
2020-03-06,Terdthai Cricket Ground,Bangkok,Hong Kong,Malaysia,Malaysia,bat,Hong Kong
2020-12-17,Adelaide Oval,Adelaide,India,Australia,India,bat,Australia
2020-12-26,Melbourne Cricket Ground,Melbourne,Australia,India,Australia,bat,India
2021-01-07,Sydney Cricket Ground,Sydney,Australia,India,Australia,bat,
2021-01-15,Brisbane Cricket Ground,Brisbane,Australia,India,Australia,bat,India
2020-12-04,Manuka Oval,Canberra,India,Australia,Australia,field,India
2020-12-06,Sydney Cricket Ground,Sydney,Australia,India,India,field,India
2020-12-08,Sydney Cricket Ground,Sydney,Australia,India,India,field,Australia
2020-11-27,Sydney Cricket Ground,,Australia,India,Australia,bat,Australia
2020-11-29,Sydney Cricket Ground,,Australia,India,Australia,bat,Australia
2020-12-02,Manuka Oval,Canberra,India,Australia,India,bat,India
2020-07-08,The Rose Bowl,Southampton,England,West Indies,England,bat,West Indies
2020-07-16,Old Trafford,Manchester,England,West Indies,West Indies,field,England
2020-07-24,Old Trafford,Manchester,England,West Indies,West Indies,field,England
2021-01-08,Adelaide Oval,Adelaide,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
2021-01-24,Melbourne Cricket Ground,Melbourne,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Hobart Hurricanes
2020-12-12,Manuka Oval,Canberra,Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Melbourne Stars
2021-01-06,Perth Stadium,Perth,Perth Scorchers,Sydney Sixers,Sydney Sixers,field,Perth Scorchers
2020-12-19,Bellerive Oval,Hobart,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
2020-12-22,Manuka Oval,Canberra,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
2021-01-02,Brisbane Cricket Ground,Brisbane,Sydney Sixers,Brisbane Heat,Sydney Sixers,bat,Brisbane Heat
2021-01-05,Adelaide Oval,Adelaide,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Adelaide Strikers
2021-01-22,Docklands Stadium,Melbourne,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,bat,Perth Scorchers
2021-01-07,Carrara Oval,Carrara,Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Brisbane Heat
2021-01-25,Adelaide Oval,Adelaide,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
2020-12-13,Bellerive Oval,Hobart,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Sydney Sixers
2021-01-19,Docklands Stadium,Melbourne,Perth Scorchers,Brisbane Heat,Brisbane Heat,field,Perth Scorchers
2021-01-15,Melbourne Cricket Ground,Melbourne,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,field,Melbourne Stars
2021-01-18,Manuka Oval,Canberra,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
2020-12-12,Bellerive Oval,Hobart,Perth Scorchers,Melbourne Renegades,Perth Scorchers,bat,Melbourne Renegades
2021-01-03,Carrara Oval,Carrara,Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2021-01-14,Manuka Oval,Canberra,Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2021-01-02,Bellerive Oval,Hobart,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Hobart Hurricanes
2020-12-28,Adelaide Oval,Adelaide,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Adelaide Strikers
2020-12-26,Carrara Oval,Carrara,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2021-01-24,Adelaide Oval,Adelaide,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,bat,Adelaide Strikers
2021-01-23,Docklands Stadium,Melbourne,Brisbane Heat,Melbourne Renegades,Brisbane Heat,bat,Brisbane Heat
2021-01-23,Melbourne Cricket Ground,Melbourne,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Perth Scorchers
2020-12-13,Bellerive Oval,Hobart,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Hobart Hurricanes
2021-01-04,Brisbane Cricket Ground,Brisbane,Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat
2020-12-10,Bellerive Oval,Hobart,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Hobart Hurricanes
2021-01-03,Perth Stadium,Perth,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Perth Scorchers
2020-12-29,Manuka Oval,Canberra,Sydney Thunder,Melbourne Stars,Melbourne Stars,field,Sydney Thunder
2021-01-10,Carrara Oval,Carrara,Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2021-01-01,Carrara Oval,Carrara,Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
2021-01-12,Perth Stadium,Perth,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
2021-01-26,Melbourne Cricket Ground,Melbourne,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2021-01-21,Adelaide Oval,Adelaide,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,bat,Adelaide Strikers
2021-01-26,Melbourne Cricket Ground,Melbourne,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Melbourne Renegades
2021-01-13,Manuka Oval,Canberra,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2021-01-26,Adelaide Oval,Adelaide,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Brisbane Heat
2020-12-15,Aurora Stadium,Launceston,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
2021-01-17,Melbourne Cricket Ground,Melbourne,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,bat,Melbourne Stars
2021-01-16,Manuka Oval,Canberra,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Sydney Sixers
2020-12-14,Manuka Oval,Canberra,Brisbane Heat,Sydney Thunder,Brisbane Heat,bat,Sydney Thunder
2020-12-16,Aurora Stadium,Launceston,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,
2020-12-27,Brisbane Cricket Ground,Brisbane,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2021-01-20,Docklands Stadium,Melbourne,Melbourne Stars,Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades
2020-12-31,Adelaide Oval,Adelaide,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2021-01-07,Perth Stadium,Perth,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Thunder
2020-12-11,Manuka Oval,Canberra,Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
2020-12-20,Bellerive Oval,Hobart,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,field,Sydney Sixers
2020-12-26,Manuka Oval,Canberra,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,field,Sydney Thunder
2020-12-30,Brisbane Cricket Ground,Brisbane,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,field,Hobart Hurricanes
2021-01-11,Adelaide Oval,Adelaide,Melbourne Stars,Adelaide Strikers,Melbourne Stars,bat,Adelaide Strikers
2020-12-29,Carrara Oval,Carrara,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,bat,Sydney Sixers
2021-01-09,Perth Stadium,Perth,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers
2021-01-04,Bellerive Oval,Hobart,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,field,Melbourne Stars
2021-01-22,Adelaide Oval,Adelaide,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Thunder
2020-12-23,Brisbane Cricket Ground,Brisbane,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Adelaide Strikers
2021-02-06,Sydney Cricket Ground,Sydney,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Sydney Sixers
2021-01-29,Brisbane Cricket Ground,Brisbane,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,bat,Brisbane Heat
2021-01-30,Manuka Oval,Canberra,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Sydney Sixers
2021-01-31,Manuka Oval,Canberra,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2021-02-04,Manuka Oval,Canberra,Perth Scorchers,Brisbane Heat,Brisbane Heat,field,Perth Scorchers
2020-08-20,"Bready Cricket Club, Magheramason, Bready",Bready,North-West Warriors,Northern Knights,Northern Knights,field,Northern Knights
2020-08-20,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Munster Reds,Leinster Lightning,Leinster Lightning,field,Leinster Lightning
2020-08-27,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Leinster Lightning,North-West Warriors,North-West Warriors,field,Leinster Lightning
2020-09-01,"The Green, Comber",Comber,North-West Warriors,Northern Knights,North-West Warriors,bat,Northern Knights
2020-09-01,"Mardyke, Cork",Cork,Munster Reds,Leinster Lightning,Leinster Lightning,field,Leinster Lightning
2020-09-03,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Northern Knights,Leinster Lightning,Leinster Lightning,field,Leinster Lightning
2020-08-01,"County Ground, Bristol",Bristol,Gloucestershire,Worcestershire,Gloucestershire,bat,Worcestershire
2020-08-01,"The Cooper Associates County Ground, Taunton",Taunton,Somerset,Glamorgan,Somerset,bat,Somerset
2020-08-01,"Edgbaston, Birmingham",Birmingham,Northamptonshire,Warwickshire,Warwickshire,field,
2020-08-01,"Trent Bridge, Nottingham",Nottingham,Nottinghamshire,Derbyshire,Derbyshire,field,Derbyshire
2020-08-01,"Riverside Ground, Chester-le-Street",Chester-le-Street,Durham,Yorkshire,Durham,bat,Yorkshire
2020-08-01,"County Ground, New Road, Worcester",Worcester,Lancashire,Leicestershire,Lancashire,bat,Leicestershire
2020-08-01,"County Ground, Chelmsford",Chelmsford,Kent,Essex,Kent,bat,Essex
2020-08-01,"Kennington Oval, London",London,Middlesex,Surrey,Middlesex,bat,Middlesex
2020-08-01,"County Ground, Hove",Brighton,Sussex,Hampshire,Sussex,bat,Sussex
2020-08-08,"County Ground, Bristol",Bristol,Gloucestershire,Warwickshire,Warwickshire,field,Gloucestershire
2020-08-08,"County Ground, Northampton",Northampton,Somerset,Northamptonshire,Somerset,bat,Somerset
2020-08-08,"County Ground, New Road, Worcester",Worcester,Worcestershire,Glamorgan,Worcestershire,bat,
2020-08-08,"Riverside Ground, Chester-le-Street",Chester-le-Street,Durham,Lancashire,Durham,bat,Lancashire
2020-08-08,"Grace Road, Leicester",Leicester,Leicestershire,Derbyshire,Leicestershire,bat,Derbyshire
2020-08-08,"Trent Bridge, Nottingham",Nottingham,Yorkshire,Nottinghamshire,Yorkshire,bat,Yorkshire
2020-08-08,"County Ground, Chelmsford",Chelmsford,Essex,Surrey,Essex,bat,Essex
2020-08-08,"St Lawrence Ground, Canterbury",Canterbury,Sussex,Kent,Sussex,bat,Kent
2020-08-08,"Brunton Memorial Ground, Radlett",Radlett,Middlesex,Hampshire,Hampshire,field,Hampshire
2020-08-15,"Sophia Gardens, Cardiff",Cardiff,Glamorgan,Gloucestershire,Gloucestershire,field,
2020-08-15,"County Ground, Northampton",Northampton,Worcestershire,Northamptonshire,Northamptonshire,field,Worcestershire
2020-08-15,"Edgbaston, Birmingham",Birmingham,Warwickshire,Somerset,Warwickshire,bat,
2020-08-15,"Grace Road, Leicester",Leicester,Durham,Leicestershire,Leicestershire,field,
2020-08-15,"Trent Bridge, Nottingham",Nottingham,Nottinghamshire,Lancashire,Lancashire,field,
2020-08-15,"Headingley, Leeds",Leeds,Yorkshire,Derbyshire,Derbyshire,field,
2020-08-15,Arundel Castle Cricket Club Ground,Arundel,Surrey,Hampshire,Surrey,bat,Hampshire
2020-08-15,"St Lawrence Ground, Canterbury",Canterbury,Middlesex,Kent,Kent,field,
2020-08-15,"County Ground, Hove",Brighton,Sussex,Essex,Essex,field,Essex
2020-08-22,"County Ground, Northampton",Northampton,Glamorgan,Northamptonshire,Northamptonshire,field,Northamptonshire
2020-08-22,"The Cooper Associates County Ground, Taunton",Taunton,Somerset,Gloucestershire,Gloucestershire,field,Somerset
2020-08-22,"County Ground, New Road, Worcester",Worcester,Warwickshire,Worcestershire,Worcestershire,field,
2020-08-22,"Riverside Ground, Chester-le-Street",Chester-le-Street,Durham,Derbyshire,Derbyshire,field,
2020-08-22,"Grace Road, Leicester",Leicester,Leicestershire,Nottinghamshire,Nottinghamshire,field,
2020-08-22,"Headingley, Leeds",Leeds,Yorkshire,Lancashire,Yorkshire,bat,
2020-08-22,Arundel Castle Cricket Club Ground,Arundel,Essex,Hampshire,Hampshire,field,
2020-08-22,"Brunton Memorial Ground, Radlett",Radlett,Sussex,Middlesex,Sussex,bat,Middlesex
2020-08-22,"Kennington Oval, London",London,Kent,Surrey,Surrey,field,Kent
2020-09-06,"Sophia Gardens, Cardiff",Cardiff,Warwickshire,Glamorgan,Glamorgan,field,
2020-09-06,"County Ground, Bristol",Bristol,Gloucestershire,Northamptonshire,Northamptonshire,field,
2020-09-06,"County Ground, New Road, Worcester",Worcester,Somerset,Worcestershire,Somerset,bat,Somerset
2020-09-06,"Aigburth, Liverpool",Liverpool,Lancashire,Derbyshire,Lancashire,bat,Lancashire
2020-09-06,"Trent Bridge, Nottingham",Nottingham,Durham,Nottinghamshire,Durham,bat,
2020-09-06,"Headingley, Leeds",Leeds,Leicestershire,Yorkshire,Yorkshire,field,Yorkshire
2020-09-06,"County Ground, Chelmsford",Chelmsford,Middlesex,Essex,Middlesex,bat,Essex
2020-09-06,"St Lawrence Ground, Canterbury",Canterbury,Hampshire,Kent,Kent,field,Kent
2020-09-06,"Kennington Oval, London",London,Sussex,Surrey,Sussex,bat,Surrey
2020-08-18,"Brian Lara Stadium, Tarouba",Trinidad,Guyana Amazon Warriors,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2020-08-18,"Brian Lara Stadium, Tarouba",Trinidad,Barbados Tridents,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,field,Barbados Tridents
2020-08-19,"Brian Lara Stadium, Tarouba",Trinidad,St Lucia Zouks,Jamaica Tallawahs,Jamaica Tallawahs,field,Jamaica Tallawahs
2020-08-19,"Brian Lara Stadium, Tarouba",Trinidad,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Guyana Amazon Warriors,field,Guyana Amazon Warriors
2020-08-20,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,Barbados Tridents,St Lucia Zouks,Barbados Tridents,bat,St Lucia Zouks
2020-08-20,"Brian Lara Stadium, Tarouba",Trinidad,Jamaica Tallawahs,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2020-08-22,"Brian Lara Stadium, Tarouba",Trinidad,St Lucia Zouks,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,field,St Lucia Zouks
2020-08-22,"Brian Lara Stadium, Tarouba",Trinidad,Guyana Amazon Warriors,Jamaica Tallawahs,Jamaica Tallawahs,field,Guyana Amazon Warriors
2020-08-23,"Brian Lara Stadium, Tarouba",Trinidad,Trinbago Knight Riders,Barbados Tridents,Barbados Tridents,field,Trinbago Knight Riders
2020-08-23,"Brian Lara Stadium, Tarouba",Trinidad,St Lucia Zouks,Guyana Amazon Warriors,St Lucia Zouks,bat,St Lucia Zouks
2020-08-25,"Queen's Park Oval, Port of Spain",Trinidad,Barbados Tridents,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,field,St Kitts and Nevis Patriots
2020-08-25,"Queen's Park Oval, Port of Spain",Trinidad,Guyana Amazon Warriors,Jamaica Tallawahs,Jamaica Tallawahs,field,Jamaica Tallawahs
2020-08-26,"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,St Lucia Zouks,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2020-08-26,"Queen's Park Oval, Port of Spain",Trinidad,Barbados Tridents,Jamaica Tallawahs,Jamaica Tallawahs,field,Barbados Tridents
2020-08-27,"Queen's Park Oval, Port of Spain",Trinidad,St Kitts and Nevis Patriots,St Lucia Zouks,St Lucia Zouks,field,St Lucia Zouks
2020-08-27,"Queen's Park Oval, Port of Spain",Trinidad,Guyana Amazon Warriors,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2020-08-29,"Queen's Park Oval, Port of Spain",Trinidad,Barbados Tridents,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2020-08-29,"Queen's Park Oval, Port of Spain",Trinidad,Jamaica Tallawahs,St Kitts and Nevis Patriots,Jamaica Tallawahs,bat,Jamaica Tallawahs
2020-08-30,"Queen's Park Oval, Port of Spain",Trinidad,St Lucia Zouks,Barbados Tridents,Barbados Tridents,field,St Lucia Zouks
2020-08-30,"Queen's Park Oval, Port of Spain",Trinidad,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Guyana Amazon Warriors,field,Guyana Amazon Warriors
2020-09-01,"Brian Lara Stadium, Tarouba",Trinidad,Trinbago Knight Riders,Jamaica Tallawahs,Jamaica Tallawahs,field,Trinbago Knight Riders
2020-09-01,"Brian Lara Stadium, Tarouba",Trinidad,Barbados Tridents,Guyana Amazon Warriors,Barbados Tridents,bat,Guyana Amazon Warriors
2020-09-02,"Brian Lara Stadium, Tarouba",Trinidad,Trinbago Knight Riders,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,field,Trinbago Knight Riders
2020-09-02,"Brian Lara Stadium, Tarouba",Trinidad,St Lucia Zouks,Guyana Amazon Warriors,Guyana Amazon Warriors,field,Guyana Amazon Warriors
2020-09-03,"Brian Lara Stadium, Tarouba",Trinidad,St Kitts and Nevis Patriots,Jamaica Tallawahs,Jamaica Tallawahs,field,
2020-09-03,"Brian Lara Stadium, Tarouba",Trinidad,Barbados Tridents,Guyana Amazon Warriors,Guyana Amazon Warriors,field,Guyana Amazon Warriors
2020-09-05,"Brian Lara Stadium, Tarouba",Trinidad,Trinbago Knight Riders,St Lucia Zouks,St Lucia Zouks,field,Trinbago Knight Riders
2020-09-05,"Brian Lara Stadium, Tarouba",Trinidad,Jamaica Tallawahs,Barbados Tridents,Jamaica Tallawahs,bat,Barbados Tridents
2020-09-06,"Brian Lara Stadium, Tarouba",Trinidad,St Kitts and Nevis Patriots,Trinbago Knight Riders,St Kitts and Nevis Patriots,bat,Trinbago Knight Riders
2020-09-06,"Brian Lara Stadium, Tarouba",Trinidad,St Lucia Zouks,Jamaica Tallawahs,St Lucia Zouks,bat,St Lucia Zouks
2020-09-08,"Brian Lara Stadium, Tarouba",Trinidad,Jamaica Tallawahs,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2020-09-08,"Brian Lara Stadium, Tarouba",Trinidad,Guyana Amazon Warriors,St Lucia Zouks,St Lucia Zouks,field,St Lucia Zouks
2020-09-10,"Brian Lara Stadium, Tarouba",Trinidad,St Lucia Zouks,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2020-10-01,Kennington Oval,London,Surrey,Kent,Kent,field,Surrey
2020-10-01,County Ground,Hove,Lancashire,Sussex,Sussex,field,Lancashire
2020-10-03,Edgbaston,Birmingham,Gloucestershire,Surrey,Surrey,field,Surrey
2020-10-04,Edgbaston,Birmingham,Lancashire,Nottinghamshire,Lancashire,bat,Nottinghamshire
2020-10-04,Edgbaston,Birmingham,Surrey,Nottinghamshire,Nottinghamshire,field,Nottinghamshire
2020-08-29,Pierre Werner Cricket Ground,Walferdange,Belgium,Luxembourg,Belgium,bat,Belgium
2020-08-30,Pierre Werner Cricket Ground,Walferdange,Belgium,Czech Republic,Belgium,bat,Belgium
2020-08-30,Pierre Werner Cricket Ground,Walferdange,Belgium,Luxembourg,Belgium,bat,Belgium
2020-08-21,College Field,St Peter Port,Isle of Man,Guernsey,Isle of Man,bat,Guernsey
2020-09-23,"Lord's, London",London,Somerset,Essex,Essex,field,
2020-11-17,National Stadium,Karachi,Lahore Qalandars,Karachi Kings,Lahore Qalandars,bat,Karachi Kings
2020-10-10,"Karen Rolton Oval, Adelaide",Adelaide,Western Australia,South Australia,Western Australia,bat,Western Australia
2020-10-10,"Park 25 No 2, Adelaide",Adelaide,Tasmania,Queensland,Tasmania,bat,Queensland
2020-10-19,"Karen Rolton Oval, Adelaide",Adelaide,South Australia,Tasmania,South Australia,bat,
2020-10-19,"Park 25 No 2, Adelaide",Adelaide,New South Wales,Western Australia,Western Australia,field,
2020-10-30,"Karen Rolton Oval, Adelaide",Adelaide,Queensland,New South Wales,New South Wales,field,New South Wales
2020-10-30,"Park 25 No 2, Adelaide",Adelaide,Western Australia,Tasmania,Tasmania,field,
2020-10-30,"Gliderol Stadium, Adelaide",Adelaide,South Australia,Victoria,South Australia,bat,
2020-11-08,"Park 25 No 2, Adelaide",Adelaide,New South Wales,Tasmania,Tasmania,field,New South Wales
2020-11-08,"Gliderol Stadium, Adelaide",Adelaide,Queensland,South Australia,Queensland,bat,Queensland
2020-10-30,Rawalpindi Cricket Stadium,,Pakistan,Zimbabwe,Pakistan,bat,Pakistan
2020-11-01,Rawalpindi Cricket Stadium,,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan
2020-11-03,Rawalpindi Cricket Stadium,,Zimbabwe,Pakistan,Zimbabwe,bat,
2020-11-07,Rawalpindi Cricket Stadium,,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan
2020-11-08,Rawalpindi Cricket Stadium,,Zimbabwe,Pakistan,Pakistan,field,Pakistan
2020-11-10,Rawalpindi Cricket Stadium,,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan
2020-11-27,Eden Park,Auckland,West Indies,New Zealand,New Zealand,field,New Zealand
2020-11-29,Bay Oval,Mount Maunganui,New Zealand,West Indies,West Indies,field,New Zealand
2020-11-30,Bay Oval,Mount Maunganui,West Indies,New Zealand,New Zealand,field,
2020-12-03,Seddon Park,Hamilton,New Zealand,West Indies,West Indies,field,New Zealand
2020-12-11,Basin Reserve,Wellington,New Zealand,West Indies,West Indies,field,New Zealand
2020-12-18,Eden Park,Auckland,Pakistan,New Zealand,Pakistan,bat,New Zealand
2020-12-20,Seddon Park,Hamilton,Pakistan,New Zealand,Pakistan,bat,New Zealand
2020-12-22,McLean Park,Napier,New Zealand,Pakistan,Pakistan,field,Pakistan
2020-12-26,Bay Oval,Mount Maunganui,New Zealand,Pakistan,Pakistan,field,New Zealand
2021-01-03,Hagley Oval,Christchurch,Pakistan,New Zealand,New Zealand,field,New Zealand
2021-02-22,Hagley Oval,Christchurch,New Zealand,Australia,Australia,field,New Zealand
2021-02-25,University Oval,Dunedin,New Zealand,Australia,Australia,field,New Zealand
2021-03-03,Westpac Stadium,Wellington,Australia,New Zealand,New Zealand,field,Australia
2021-03-05,Westpac Stadium,Wellington,Australia,New Zealand,Australia,bat,Australia
2021-03-07,Sky Stadium,Wellington,Australia,New Zealand,Australia,bat,New Zealand
2021-03-20,University Oval,Dunedin,Bangladesh,New Zealand,New Zealand,field,New Zealand
2021-03-23,Hagley Oval,Christchurch,Bangladesh,New Zealand,New Zealand,field,New Zealand
2021-03-26,Basin Reserve,Wellington,New Zealand,Bangladesh,New Zealand,bat,New Zealand
2021-03-28,Seddon Park,Hamilton,New Zealand,Bangladesh,New Zealand,bat,New Zealand
2021-03-30,McLean Park,Napier,New Zealand,Bangladesh,Bangladesh,field,New Zealand
2021-04-01,Eden Park,Auckland,New Zealand,Bangladesh,Bangladesh,field,New Zealand
2020-12-24,Basin Reserve,Wellington,Auckland,Wellington,Wellington,field,Wellington
2020-12-27,McLean Park,Napier,Wellington,Central Districts,Central Districts,field,Wellington
2020-12-28,Molyneux Park,Alexandra,Otago,Auckland,Auckland,field,Otago
2020-12-29,Molyneux Park,Alexandra,Canterbury,Otago,Canterbury,bat,Canterbury
2020-12-30,Pukekura Park,New Plymouth,Central Districts,Northern Districts,Central Districts,bat,Central Districts
2020-12-31,Pukekura Park,New Plymouth,Central Districts,Auckland,Central Districts,bat,Central Districts
2021-01-01,Bay Oval,Mount Maunganui,Northern Districts,Wellington,Wellington,field,Wellington
2021-01-02,Bay Oval,Mount Maunganui,Northern Districts,Otago,Otago,field,Otago
2021-01-03,Eden Park Outer Oval,Auckland,Auckland,Canterbury,Canterbury,field,Canterbury
2021-01-04,Seddon Park,Hamilton,Central Districts,Northern Districts,Northern Districts,field,Northern Districts
2021-01-08,University Oval,Dunedin,Central Districts,Otago,Otago,field,Central Districts
2021-01-09,Basin Reserve,Wellington,Wellington,Northern Districts,Northern Districts,field,Wellington
